"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","559.6","4.3","0.2","107.6"
"Zach Charbonnet","SEA","RB45","125.9","513.8","5.3","18.4","136.3","0.5","0.7","107.5"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.9","621.4","3.2","1.2","106.5"
"Jalen Nailor","LV","WR67","2.0","9.0","0.0","43.7","587.7","4.0","0.2","105.3"
"Isiah Pacheco","DET","RB46","136.7","579.4","3.4","19.5","120.7","0.8","0.7","103.4"
"Terrance Ferguson","LAR","TE23","0.0","0.0","0.0","39.0","532.8","5.1","0.2","103.2"
"Devaughn Vele","NO","WR68","0.0","0.0","0.0","47.3","566.2","3.7","0.2","101.9"
"Cade Otton","TB","TE24","0.0","0.0","0.0","54.8","557.1","3.1","0.1","101.4"
"Cooper Kupp","SEA","WR69","0.5","1.5","0.0","47.4","583.8","3.4","0.7","101.4"
"Kenyon Sadiq","NYJ","TE25","0.0","0.0","0.0","49.0","538.2","4.0","0.7","100.9"
"Alvin Kamara","NO","RB47","114.0","439.9","2.4","31.9","223.4","1.0","0.8","100.6"
"AJ Barner","SEA","TE26","0.0","0.0","0.0","48.6","469.5","4.9","0.2","100.1"
"Chig Okonkwo","WAS","TE27","0.0","0.0","0.0","52.8","568.9","2.8","0.1","99.7"
"Justice Hill","BAL","RB48","61.3","296.4","2.3","32.7","283.1","1.8","0.2","98.7"
"Jaylin Noel","HOU","WR70","5.1","17.6","0.1","45.3","517.0","3.6","0.3","97.5"
"Adonai Mitchell","NYJ","WR71","2.1","5.1","0.1","40.0","551.3","3.3","0.7","94.4"
"Darren Waller","CAR","TE28","0.0","0.0","0.0","43.3","446.2","4.7","0.1","94.1"
"Chris Rodriguez Jr.","JAC","RB49","135.5","561.2","5.1","5.4","42.8","0.1","0.6","93.0"
