"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tutu Atwell","LAR","WR81","4.3","20.2","0.1","39.1","497.9","2.2","0.1","65.3"
"DeAndre Hopkins","BAL","WR82","0.0","0.5","0.0","32.0","416.4","3.9","0.1","65.0"
"Nick Westbrook-Ikhine","MIA","WR83","0.0","1.3","0.0","31.4","426.9","3.7","0.1","64.6"
"Miles Sanders","DAL","RB60","93.9","404.7","2.3","12.0","77.2","0.6","0.5","64.5"
"Kendre Miller","NO","RB61","95.0","365.9","3.4","9.7","72.6","0.2","0.4","64.5"
"Tyler Higbee","LAR","TE29","0.0","0.0","0.0","45.3","425.2","3.7","0.1","64.4"
"Diontae Johnson","CLE","WR84","0.0","2.3","0.0","40.0","489.6","2.5","0.6","63.1"
"Theo Johnson","NYG","TE30","0.0","0.0","0.0","43.1","470.5","2.7","0.1","63.0"
"Josh Reynolds","NYJ","WR85","0.0","0.0","0.0","35.0","460.6","2.8","0.1","62.9"
"Ray-Ray McCloud III","ATL","WR86","7.8","53.1","0.2","40.5","437.3","2.3","1.2","61.3"
"Jalen Tolbert","DAL","WR87","0.0","0.0","0.0","34.3","400.6","3.5","0.1","60.9"
"Raheem Mostert","LV","RB62","77.5","289.9","2.6","18.1","133.8","0.6","0.8","60.0"
"Mason Taylor","NYJ","TE31","0.0","0.0","0.0","44.9","452.7","2.6","0.5","59.9"
"Blake Corum","LAR","RB63","96.3","350.7","2.4","12.0","87.4","0.4","0.4","59.6"
"Woody Marks","HOU","RB64","74.3","265.3","1.8","21.7","159.2","1.0","0.1","59.3"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","423.5","2.8","0.4","58.4"
"Tre Tucker","LV","WR88","5.6","31.5","0.3","30.3","388.6","2.3","0.1","57.6"
"Justice Hill","BAL","RB65","41.8","185.1","1.1","27.3","222.6","1.7","0.4","56.7"
"Andrei Iosivas","CIN","WR89","0.0","0.0","0.0","30.4","363.3","3.4","0.1","56.6"
"Jordan Whittington","LAR","WR90","1.1","13.9","0.0","34.1","397.7","2.4","0.1","55.6"
"Marquez Valdes-Scantling","SEA","WR91","2.6","10.0","0.1","24.2","402.1","2.4","0.0","55.6"
"Jalen Coker","CAR","WR92","0.0","2.3","0.0","32.9","428.0","2.1","0.1","55.3"
"Tory Horton","SEA","WR93","1.0","8.7","0.0","33.4","425.5","2.1","0.7","54.3"
"Keaton Mitchell","BAL","RB66","75.2","330.0","1.7","8.6","83.4","0.5","0.0","54.2"
"Samaje Perine","CIN","RB67","51.2","200.4","1.5","21.2","195.6","1.1","0.7","53.5"
"Troy Franklin","DEN","WR94","1.1","5.8","0.0","28.2","358.0","2.8","0.1","53.1"
"Will Dissly","LAC","TE33","0.0","0.0","0.0","38.6","378.5","2.5","0.1","53.0"
"Dont'e Thornton Jr.","LV","WR95","0.0","3.0","0.0","29.1","393.3","2.3","0.1","53.0"
"Dontayvion Wicks","GB","WR96","0.0","1.3","0.0","27.5","346.3","3.0","0.0","52.8"
"Noah Brown","WAS","WR97","0.0","0.0","0.0","31.8","406.4","1.9","0.1","51.8"
"Christian Watson","GB","WR98","4.3","17.0","0.0","19.9","366.6","2.3","0.4","51.6"
"Adonai Mitchell","IND","WR99","2.5","11.5","0.1","26.6","368.5","2.2","0.2","51.6"
"Ty Johnson","BUF","RB68","45.7","208.1","1.0","15.2","164.8","1.5","0.1","51.6"
"Noah Fant","CIN","TE34","0.0","0.0","0.0","36.2","370.6","2.4","0.1","51.6"
"Khalil Herbert","IND","RB69","84.6","325.0","2.1","8.3","54.0","0.2","0.0","51.4"
"Ja'Tavion Sanders","CAR","TE35","0.0","0.0","0.0","38.5","388.3","2.1","0.1","51.0"
"Russell Gage Jr.","SF","WR100","0.0","0.0","0.0","31.4","360.7","2.5","0.0","51.0"
"Allen Lazard","NYJ","WR101","0.0","0.0","0.0","27.5","353.8","2.5","0.1","50.1"
"Elic Ayomanor","TEN","WR102","0.0","7.5","0.0","28.6","336.3","2.2","0.1","47.4"
"K.J. Osborn","WAS","WR103","0.0","0.0","0.0","28.7","318.7","2.5","0.0","46.8"
"Tyler Conklin","LAC","TE36","0.0","0.0","0.0","33.7","326.2","2.3","0.0","46.2"
"Curtis Samuel","BUF","WR104","6.6","29.3","0.1","27.0","271.5","2.5","0.1","45.4"
"AJ Barner","SEA","TE37","0.0","0.0","0.0","33.0","309.1","2.4","0.1","45.2"
"Jaylin Noel","HOU","WR105","0.0","13.0","0.0","25.5","304.3","2.2","0.1","44.7"
"Anthony Miller","BAL","WR106","0.0","0.0","0.0","25.3","289.4","2.6","0.0","44.4"
"Tai Felton","MIN","WR107","0.0","3.7","0.0","24.8","299.0","2.3","0.0","44.3"
"Devaughn Vele","DEN","WR108","0.0","1.7","0.0","27.4","302.3","2.3","0.1","44.0"
"Noah Gray","KC","TE38","0.0","0.0","0.0","28.2","285.4","2.6","0.0","43.9"
"Jarquez Hunter","LAR","RB70","57.1","245.0","1.9","8.5","68.7","0.4","0.7","43.8"
"Pat Bryant","DEN","WR109","0.0","0.0","0.0","25.6","308.9","2.1","0.1","43.3"
"Antonio Gibson","NE","RB71","51.5","209.5","1.0","15.7","126.9","0.5","0.0","42.4"
"Elijah Mitchell","KC","RB72","62.5","235.9","1.9","8.5","49.6","0.4","0.1","42.2"
"Kayshon Boutte","NE","WR110","0.0","0.0","0.0","22.5","301.5","2.0","0.0","41.9"
"Greg Dortch","ARI","WR111","4.8","30.6","0.1","27.1","269.3","2.0","0.4","41.8"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","30.0","288.6","2.3","0.4","41.7"
"Van Jefferson","TEN","WR112","0.0","0.0","0.0","23.5","300.5","1.9","0.1","41.0"
"Ja'Lynn Polk","NE","WR113","0.0","0.0","0.0","24.6","298.2","1.8","0.0","40.7"
"Roman Wilson","PIT","WR114","0.0","0.0","0.0","22.9","290.2","2.0","0.1","40.7"
"Malik Washington","MIA","WR115","2.0","13.8","0.1","27.5","288.8","1.8","0.6","40.4"
"Kenneth Gainwell","PIT","RB73","58.5","210.9","1.4","12.5","88.5","0.4","0.4","39.8"
"Kyle Monangai","CHI","RB74","42.0","236.8","2.0","5.0","36.2","0.1","0.1","39.3"
"Devin Singletary","NYG","RB75","51.8","235.2","1.5","9.4","63.3","0.1","0.4","39.1"
"Trevor Etienne","CAR","RB76","47.8","191.3","1.5","10.7","86.8","0.4","0.4","38.3"
"Tahj Brooks","CIN","RB77","24.9","225.4","1.9","6.7","48.2","0.1","0.6","38.0"
"Tim Patrick","DET","WR116","0.0","0.0","0.0","20.5","258.1","2.0","0.1","37.5"
"Foster Moreau","NO","TE40","0.0","0.0","0.0","23.0","259.9","1.9","0.1","37.2"
"Skyy Moore","KC","WR117","0.0","0.0","0.0","22.3","267.2","1.6","0.0","36.6"
"KaVontae Turpin","DAL","WR118","8.5","58.6","0.5","16.8","204.0","1.4","0.7","36.3"
"Parker Washington","JAC","WR119","0.0","8.5","0.0","24.7","261.7","1.6","0.1","36.3"
"Will Shipley","PHI","RB78","37.4","199.7","1.3","8.3","61.8","0.4","0.1","36.3"
"Demarcus Robinson","SF","WR120","0.0","1.0","0.0","15.5","245.1","2.0","0.0","36.3"
"Sean Tucker","TB","RB79","44.8","231.4","1.4","5.1","40.1","0.3","0.7","36.1"
"Devin Neal","NO","RB80","39.1","204.6","1.3","7.3","54.5","0.4","0.1","35.9"
"Jermaine Burton","CIN","WR121","0.0","2.0","0.0","18.1","239.7","2.0","0.1","35.7"
"Emanuel Wilson","GB","RB81","41.9","202.7","1.4","7.4","53.9","0.4","0.3","35.6"
"Austin Hooper","NE","TE41","0.0","0.0","0.0","26.5","263.1","1.7","0.4","35.6"
"Michael Mayer","LV","TE42","0.0","0.0","0.0","27.7","257.4","1.6","0.1","35.2"
"Dawson Knox","BUF","TE43","0.0","0.0","0.0","21.9","238.0","1.9","0.0","35.2"
"Chimere Dike","TEN","WR122","2.1","8.9","0.0","18.9","245.9","1.6","0.1","35.1"
"Oronde Gadsden II","LAC","TE44","0.0","0.0","0.0","23.6","239.3","1.8","0.1","34.8"
