"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","74.9","784.9","4.8","0.3","144.4"
"Deebo Samuel Sr.","SF","WR40","29.1","111.7","1.1","60.1","692.3","4.7","0.4","144.0"
"Kenny Gainwell","TB","RB37","113.6","498.2","3.9","49.7","351.8","2.0","0.9","143.4"
"Quentin Johnston","LAC","WR41","1.7","5.9","0.0","53.6","756.6","6.9","0.7","143.0"
"Michael Wilson","ARI","WR42","0.0","0.7","0.0","67.5","826.9","4.5","0.2","142.9"
"George Kittle","SF","TE11","0.0","0.0","0.0","66.2","753.6","5.7","0.2","142.5"
"Chris Godwin Jr.","TB","WR43","0.3","0.3","0.0","67.8","773.5","5.2","0.3","141.9"
"Jordan Addison","MIN","WR44","2.7","37.1","0.4","55.2","758.1","5.4","0.2","141.3"
"Jordyn Tyson","NO","WR45","0.7","3.0","0.0","63.2","856.9","4.3","1.3","140.9"
"Wan'Dale Robinson","TEN","WR46","2.0","9.5","0.1","79.9","803.8","3.3","0.3","140.8"
"Xavier Worthy","KC","WR47","15.5","99.3","0.9","55.2","721.9","4.2","0.2","139.7"
"Josh Downs","IND","WR48","1.4","4.3","0.0","77.6","754.4","4.3","0.8","139.0"
"Jacory Croskey-Merritt","WAS","RB38","182.6","821.1","7.5","10.7","79.0","0.2","1.7","137.8"
"Jonathon Brooks","CAR","RB39","173.5","708.9","4.7","27.6","210.6","1.1","1.4","137.3"
"Matthew Golden","GB","WR49","8.2","40.9","0.1","56.9","787.9","4.4","0.4","137.3"
"Isaiah Likely","NYG","TE12","0.0","0.0","0.0","62.9","745.7","5.0","1.3","133.8"
"Mark Andrews","BAL","TE13","0.0","0.0","0.0","58.0","603.7","7.4","0.3","133.1"
"KC Concepcion","CLE","WR50","4.2","22.4","0.1","61.6","800.3","3.6","1.3","132.8"
"Stefon Diggs","WAS","WR51","0.3","0.7","0.0","67.0","747.6","4.1","0.2","132.7"
"Blake Corum","LAR","RB40","167.7","801.5","6.4","11.9","80.4","0.2","0.7","132.6"
"Rashid Shaheed","SEA","WR52","13.4","88.9","0.3","49.9","755.8","3.8","0.8","131.8"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","57.1","707.2","5.5","0.2","131.7"
"Romeo Doubs","NE","WR53","0.0","0.0","0.0","56.3","728.5","5.2","0.3","131.7"
"Jordan Mason","MIN","RB41","181.7","828.1","5.8","14.5","75.8","0.1","1.0","131.2"
"Jake Ferguson","DAL","TE15","0.0","0.0","0.0","74.1","606.7","5.9","1.4","130.6"
"Khalil Shakir","BUF","WR54","1.1","5.5","0.0","69.7","726.4","3.9","0.8","130.1"
