"RK","PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"133","Zach Ertz",WAS,"144.4","0","0","66","654","7","0","0","0"
"134","Antonio Gibson",NE,"91.9","0","0","23","206","0","120","538","1"
"135","DeMario Douglas",NE,"114.7","0","0","66","621","3","3","16","0"
"136","Quentin Johnston",LAC,"147.2","0","0","55","711","8","3","6","0"
"137","Joshua Palmer",BUF,"87.9","0","0","39","584","1","0","0","0"
"138","Devin Singletary",NYG,"86.1","0","0","21","119","0","113","437","4"
"139","Kareem Hunt",KC,"143.9","0","0","23","176","0","200","728","7"
"140","Cedric Tillman",CLE,"65.9","0","0","29","339","3","1","-5","0"
"141","Russell Wilson",NYG,"177.8","2482","16","0","0","0","43","155","2"
"142","Drake Maye",NE,"187.1","2276","15","0","0","0","54","421","2"
"143","Brenton Strange",JAC,"71.1","0","0","40","411","2","0","0","0"
"144","Trey Benson",ARI,"44","0","0","6","59","0","63","291","1"
"145","Cole Kmet",CHI,"96.9","0","0","47","474","4","0","0","0"
"146","Juwan Johnson",NO,"97.8","0","0","50","548","3","0","0","0"
"147","Buffalo Bills",BUF,"133","0","0","0","0","0","0","0","0"
"148","Brandon Aubrey",DAL,"192","0","0","0","0","0","0","0","0"
"149","Philadelphia Eagles",PHI,"135","0","0","0","0","0","0","0","0"
"150","Geno Smith",LV,"281","4320","21","0","0","0","53","272","2"
"151","Ka'imi Fairbairn",HOU,"172","0","0","0","0","0","0","0","0"
"152","Patrick Taylor Jr.",SF,"28.3","0","0","3","25","0","39","183","1"
"153","Jalen Coker",CAR,"76.6","0","0","32","478","2","0","0","0"
"154","Chig Okonkwo",TEN,"87.6","0","0","52","479","2","1","17","0"
"155","Brandin Cooks",NO,"56.6","0","0","26","259","3","3","-3","0"
"156","Bryce Young",CAR,"204","2403","15","0","0","0","43","249","6"
"157","Khalil Herbert",IND,"26.5","0","0","10","25","0","36","130","1"
